date,planned_cost_yuan,settlement_cost_yuan,adjustment_fee_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,planned_grid_kwh,adjusted_grid_kwh,soc_min_kwh,soc_max_kwh
2025-02-01,20150.837040164733,20473.91904859384,323.0820084291081,1356.7584634861096,21830.67751207995,352.2590916666662,38397.85420946502,38911.04125600137,1200.0,10800.0
2025-02-02,52541.76110836201,52304.9186182946,-236.8424900674072,2175.9349801523385,54480.853598446934,570.4562715555566,84416.75479633058,82959.7170760631,1200.0,10800.0
2025-02-03,55090.37321366694,53754.7329080852,-1335.6403055817427,3235.339130715285,56990.072038800485,761.7103011111126,88036.56763333332,84104.6310894033,1200.0,10800.0
2025-02-04,56111.342638318296,54994.54453771752,-1116.7981006007758,2466.301980344763,57460.84651806228,586.5786917009628,89151.71804965705,86081.53032993826,1200.0,10800.0
2025-02-05,52833.72535383058,54066.561888194345,1232.8365343637633,1039.0089286115262,55105.57081680587,223.28965495404304,84569.22697115912,85651.70505709876,1200.0,10800.0
2025-02-06,56999.74218863352,54886.348141751296,-2113.3940468822257,2158.776739223823,57045.12488097512,547.7860606995854,90557.88835188614,84695.53439842934,1200.0,10800.0
2025-02-07,20675.005844678773,20173.43675579883,-501.5690888799436,765.0189752627782,20938.455731061607,156.10399666666666,39837.38350260631,38354.443864814806,1200.0,10800.0
2025-02-08,18027.72434858512,18613.897754397625,586.1734058125039,1787.2233972611148,20401.12115165874,427.6804916666679,35237.773882818925,35718.456591152266,1200.0,10800.0
2025-02-09,53700.592978839224,54024.408275832175,323.8152969929506,799.6559144418867,54824.06419027406,163.4548869999995,85874.71720219478,85416.62921625034,1200.0,10800.0
2025-02-10,50551.977280058774,49688.39383075344,-863.5834493053335,2576.0203852712743,52264.414216024714,767.6406023888882,81578.52897695472,78570.74042366254,1200.0,10800.0
2025-02-11,51751.28928318691,50189.3515855245,-1561.9376976624117,4290.920251333659,54480.271836858155,1133.2796369999983,82695.80703083333,78637.64953385323,1200.0,10800.0
2025-02-12,51525.59096401493,49987.61685884721,-1537.9741051677265,5839.470532006624,55827.087390853834,1470.2923419355266,82584.48192839505,78335.45535193998,1200.0,10800.0
2025-02-13,47393.183657311834,47362.05523917283,-31.128418139007408,3426.8482408891623,50788.90348006199,813.4537699722244,77360.94259591906,75601.98111018518,1200.0,10800.0
2025-02-14,18003.6830429886,18725.859642085263,722.1765990966633,741.8788768555553,19467.73851894082,150.74153333333328,35244.67491817558,35811.62667928669,1200.0,10800.0
2025-02-15,18352.95386505984,18725.780999661096,372.82713460125524,2309.189528247223,21034.970527908317,708.86355,35171.69457242798,35671.57764742798,1200.0,10800.0
2025-02-16,52129.28134940819,49831.626331305786,-2297.6550181024068,8903.153360012242,58734.77969131803,2435.7893488683117,83802.12322935526,77479.57400113168,1200.0,10800.0
2025-02-17,51319.28784292694,48468.76661551003,-2850.52122741691,3441.8833954796382,51910.650010989666,973.5961347736659,83354.07758333333,74823.51792139917,1200.0,10800.0
2025-02-18,46045.04005667888,47981.95809021511,1936.9180335362253,2384.7923502161934,50366.7504404313,612.9491730360064,74809.25866296295,77098.22930288065,1200.0,10800.0
