date,time,planned_kwh,adjusted_kwh
2025-03-20,10:00-10:10,0.0,0.0
2025-03-20,12:00-12:10,560.4304805555555,528.8549138888889
2025-03-20,14:00-14:10,0.0,0.0
2025-03-20,16:00-16:10,663.9930472222222,534.4413388888889
2025-03-20,18:00-18:10,0.0,0.0
2025-03-20,20:00-20:10,0.0,0.0
2025-03-20,daily,67729.59308583676,63896.73343683127
2025-06-21,10:00-10:10,0.0,0.0
2025-06-21,12:00-12:10,0.0,0.0
2025-06-21,14:00-14:10,0.0,0.0
2025-06-21,16:00-16:10,111.20315555555558,111.20315555555558
2025-06-21,18:00-18:10,0.0,0.0
2025-06-21,20:00-20:10,0.0,0.0
2025-06-21,daily,33812.285042558295,33970.29404255829
2025-09-23,10:00-10:10,0.0,0.0
2025-09-23,12:00-12:10,371.5881083333332,371.5881083333332
2025-09-23,14:00-14:10,0.0,0.0
2025-09-23,16:00-16:10,636.7039777777777,579.4568083333334
2025-09-23,18:00-18:10,0.0,0.0
2025-09-23,20:00-20:10,827.1781166666666,827.1781166666666
2025-09-23,daily,68433.17451076816,66238.25447685184
2025-12-21,10:00-10:10,0.0,0.0
2025-12-21,12:00-12:10,979.5408805555555,950.8829444444443
2025-12-21,14:00-14:10,0.0,0.0
2025-12-21,16:00-16:10,799.6887777777777,813.722763888889
2025-12-21,18:00-18:10,715.41445,715.41445
2025-12-21,20:00-20:10,0.0,0.0
2025-12-21,daily,93633.2068,93540.70225304252
